run_time route_length status explorated_area unexplorated_area 
282 1126 success 770 0
261 1043 success 770 0
236 944 success 770 0
252 1008 success 770 0
287 1148 success 770 0
266 1063 success 770 0
246 982 success 770 0
202 807 success 770 0
197 787 success 770 0
232 927 success 770 0
209 835 success 770 0
266 1063 success 770 0
241 963 success 771 0
250 1000 success 770 0
296 1182 success 770 0
258 1031 success 770 0
216 864 success 770 0
231 922 success 770 0
268 1071 success 770 0
292 1168 success 770 0
277 1106 success 770 0
239 955 success 770 0
222 887 success 770 0
268 1072 success 771 0
224 896 success 771 0
246 982 success 770 0
275 1100 success 770 0
268 1071 success 770 0
262 1047 success 770 0
272 1088 success 770 0
232 928 success 770 0
222 888 success 770 0
252 1007 success 770 0
242 968 success 771 0
217 867 success 770 0
237 948 success 770 0
217 867 success 770 0
208 830 success 770 0
255 1019 success 770 0
208 831 success 770 0
249 996 success 771 0
255 1019 success 771 0
238 951 success 770 0
239 954 success 770 0
265 1059 success 770 0
228 910 success 770 0
252 1008 success 772 0
234 936 success 770 0
221 882 success 770 0
241 963 success 770 0
Success statistics information
MEAN
run_time             245.06
route_length         979.38
explorated_area      770.16
unexplorated_area      0.00
dtype: float64
STANDARD
run_time             24.113177
route_length         96.498258
explorated_area       0.421852
unexplorated_area     0.000000
dtype: float64
Block statistics information
MEAN
run_time            NaN
route_length        NaN
explorated_area     NaN
unexplorated_area   NaN
dtype: float64
STANDARD
run_time            NaN
route_length        NaN
explorated_area     NaN
unexplorated_area   NaN
dtype: float64
Total run 50 rounds
Success 50 rounds 100.0%
Fail 0 rounds 0.0%
