run_time route_length status explorated_area unexplorated_area
243 797 success 771 0
284 634 block 709 62
237 667 success 772 0
280 939 success 772 0
360 1079 success 771 0
368 600 block 768 4
246 699 success 770 0
221 592 block 767 5
336 798 block 763 9
270 716 block 768 3
264 849 success 772 0
147 342 block 351 422
235 617 block 764 7
1000 1432 block 764 6
256 629 block 765 7
192 481 block 578 194
234 610 block 766 4
264 802 success 772 0
276 832 success 770 0
248 782 success 770 0
354 758 block 770 2
749 1173 block 768 3
274 725 block 767 5
233 556 block 729 43
193 479 block 594 177
281 731 block 764 7
284 720 block 765 7
237 790 success 770 0
220 604 block 768 4
272 761 block 765 7
294 714 block 769 3
267 901 success 771 0
237 666 block 767 5
317 722 block 770 1
194 619 success 770 0
205 663 success 771 0
337 705 block 767 4
348 922 block 771 1
225 776 success 770 0
254 743 block 767 4
238 784 success 770 0
1000 3069 block 760 10
222 707 success 770 0
223 779 success 770 0
244 645 block 765 5
302 786 block 767 5
264 640 block 765 6
300 721 block 768 2
318 796 block 772 1
226 663 success 771 0
Success statistics information
MEAN
run_time             247.500000
route_length         784.888889
explorated_area      770.722222
unexplorated_area      0.000000
dtype: float64
STANDARD
run_time              36.517925
route_length         112.518176
explorated_area        0.826442
unexplorated_area      0.000000
dtype: float64
Block statistics information
MEAN
run_time             331.81250
route_length         783.96875
explorated_area      739.40625
unexplorated_area     32.03125
dtype: float64
STANDARD
run_time             200.828676
route_length         459.405681
explorated_area       84.113924
unexplorated_area     84.366896
dtype: float64
Total run 50 rounds
Success 18 rounds 36.0%
Fail 32 rounds 64.0%
